                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.64113,                0.38115,                0.95776,                0.96354,                0.91139,                0.96095,                0.65422,                  1.173,                0.48193,                 1.3007,              0.0007724,              0.0007724,              0.0007724
                     64,                0.62951,                0.40048,                0.95573,                0.95889,                0.91139,                0.96709,                0.65185,                 1.1653,                 0.4998,                 1.2982,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66493,                0.39336,                0.97969,                0.97479,                0.91772,                0.96978,                0.66237,                 1.1659,                0.49716,                 1.3068,              0.0007328,              0.0007328,              0.0007328
                     66,                0.61079,                0.36023,                 0.9458,                0.97802,                0.91772,                0.97158,                0.66558,                 1.1719,                0.48883,                 1.3192,               0.000713,               0.000713,               0.000713
                     67,                0.65739,                0.37769,                0.96277,                0.97708,                0.92405,                0.97265,                0.66168,                 1.1845,                0.48578,                 1.3207,              0.0006932,              0.0006932,              0.0006932
                     68,                0.62703,                0.38411,                0.96343,                0.99315,                0.91726,                0.97001,                0.66617,                 1.1645,                0.47873,                 1.2964,              0.0006734,              0.0006734,              0.0006734
                     69,                0.60757,                0.35562,                0.95965,                0.97733,                0.93038,                  0.967,                0.66479,                 1.1371,                0.46265,                 1.2746,              0.0006536,              0.0006536,              0.0006536
                     70,                0.59531,                0.36164,                0.93797,                0.97366,                0.93581,                0.96267,                0.66669,                  1.125,                0.46274,                 1.2736,              0.0006338,              0.0006338,              0.0006338
                     71,                0.60273,                0.36296,                0.95511,                0.97349,                0.92949,                0.95377,                0.66717,                 1.1247,                0.45995,                 1.2876,               0.000614,               0.000614,               0.000614
                     72,                0.58336,                0.35844,                0.96545,                0.98758,                0.91139,                0.95006,                 0.6666,                 1.1094,                0.45973,                 1.2875,              0.0005942,              0.0005942,              0.0005942
                     73,                0.58383,                0.35197,                0.93052,                0.99314,                0.91595,                0.95141,                0.66927,                 1.1191,                0.46109,                 1.2927,              0.0005744,              0.0005744,              0.0005744
                     74,                0.58532,                  0.334,                0.94654,                0.98509,                0.93038,                0.95182,                 0.6578,                 1.1234,                0.45183,                 1.2961,              0.0005546,              0.0005546,              0.0005546
                     75,                0.55558,                0.34606,                0.92767,                0.97998,                0.92935,                0.94194,                0.64808,                 1.1223,                0.44274,                 1.3055,              0.0005348,              0.0005348,              0.0005348
                     76,                0.55615,                0.33392,                0.92587,                0.98638,                0.91705,                0.94319,                 0.6369,                 1.1221,                0.44717,                 1.3143,               0.000515,               0.000515,               0.000515
                     77,                0.57297,                0.34206,                0.94381,                0.98647,                0.92304,                0.94369,                0.64012,                 1.1304,                0.44663,                 1.3278,              0.0004952,              0.0004952,              0.0004952
                     78,                0.56617,                0.33496,                0.92042,                0.98649,                  0.924,                0.96317,                0.65312,                 1.1213,                0.44206,                 1.3184,              0.0004754,              0.0004754,              0.0004754
                     79,                0.55787,                0.33787,                0.93265,                0.97328,                0.92224,                0.96427,                0.66142,                 1.1332,                0.45555,                  1.318,              0.0004556,              0.0004556,              0.0004556
                     80,                0.55049,                0.32069,                 0.9378,                0.98447,                0.91139,                0.96903,                0.66808,                 1.1474,                0.46965,                 1.3338,              0.0004358,              0.0004358,              0.0004358
                     81,                0.56816,                0.32975,                0.93232,                 0.9891,                0.91139,                0.96899,                0.67135,                 1.1371,                0.46126,                  1.331,               0.000416,               0.000416,               0.000416
                     82,                0.55087,                0.33245,                 0.9427,                0.98067,                0.90506,                0.96928,                0.66917,                   1.14,                0.45118,                  1.331,              0.0003962,              0.0003962,              0.0003962
                     83,                0.55333,                0.33562,                0.90983,                0.99961,                0.90506,                0.96847,                0.67158,                 1.1331,                0.46633,                 1.3206,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5498,                0.32468,                0.93391,                0.97876,                0.92405,                0.96722,                0.66919,                 1.1374,                0.46511,                  1.327,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.5306,                 0.3196,                0.91977,                 0.9772,                0.92405,                0.97134,                0.66511,                 1.1546,                0.46005,                 1.3419,              0.0003368,              0.0003368,              0.0003368
                     86,                0.52597,                0.31539,                0.92687,                0.99671,                0.91139,                0.97519,                0.66993,                 1.1602,                0.46408,                 1.3467,               0.000317,               0.000317,               0.000317
                     87,                0.54387,                0.31489,                0.92194,                0.97805,                0.93671,                0.97681,                0.67049,                 1.1524,                0.46405,                 1.3418,              0.0002972,              0.0002972,              0.0002972
                     88,                0.51059,                0.31414,                0.90781,                0.97355,                0.93671,                0.96686,                0.67051,                 1.1499,                0.45171,                 1.3409,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.5109,                0.32659,                0.91622,                0.96728,                0.93558,                  0.967,                0.67531,                 1.1545,                0.43961,                 1.3452,              0.0002576,              0.0002576,              0.0002576
                     90,                0.51663,                0.31973,                0.90762,                0.99314,                0.91683,                0.96671,                0.67764,                 1.1604,                 0.4461,                 1.3405,              0.0002378,              0.0002378,              0.0002378
                     91,                0.47169,                0.29328,                0.86668,                0.97345,                0.92812,                0.96641,                0.66562,                 1.1637,                0.44566,                 1.3415,               0.000218,               0.000218,               0.000218
                     92,                0.48716,                 0.2947,                0.89495,                0.99156,                0.91139,                0.96108,                0.65201,                 1.1748,                0.44735,                 1.3489,              0.0001982,              0.0001982,              0.0001982
                     93,                0.45926,                0.26721,                0.87052,                0.99177,                0.90506,                0.96089,                0.64761,                 1.1744,                0.44824,                 1.3521,              0.0001784,              0.0001784,              0.0001784
                     94,                0.46555,                0.26523,                0.88082,                0.99684,                0.90506,                0.95505,                0.64501,                 1.1704,                0.45088,                 1.3512,              0.0001586,              0.0001586,              0.0001586
                     95,                0.45209,                 0.2662,                0.85649,                0.98919,                0.90506,                0.95802,                0.64089,                 1.1667,                0.44772,                  1.354,              0.0001388,              0.0001388,              0.0001388
                     96,                0.44201,                0.26001,                0.87047,                0.98296,                0.91139,                0.95934,                0.64288,                 1.1566,                0.45157,                 1.3445,               0.000119,               0.000119,               0.000119
                     97,                0.44124,                0.26118,                0.85895,                0.98504,                0.91139,                0.96225,                0.64723,                 1.1546,                0.45669,                 1.3464,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.4412,                 0.2642,                0.87256,                 0.9833,                0.91139,                0.96026,                0.65515,                 1.1582,                0.45077,                 1.3572,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.43246,                0.25165,                 0.8611,                 0.9837,                0.91139,                0.95894,                0.65884,                 1.1609,                0.45836,                 1.3605,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.41441,                0.24769,                0.85772,                0.98401,                0.91139,                0.96018,                0.66101,                 1.1625,                0.45711,                 1.3647,               3.98e-05,               3.98e-05,               3.98e-05
